Date,Steps
10/1/2023,8558
10/2/2023,7120
10/3/2023,4431
10/4/2023,9327
10/5/2023,11481
10/6/2023,8206
10/7/2023,5530
10/8/2023,4525
10/9/2023,8247
10/10/2023,4154
10/11/2023,2151
10/12/2023,7947
10/13/2023,7905
10/14/2023,9806
10/15/2023,3427
10/16/2023,8968
10/17/2023,4572
10/18/2023,6785
10/19/2023,8351
10/20/2023,8243
10/21/2023,9015
10/22/2023,10048
10/23/2023,8149
10/24/2023,6756
10/25/2023,10306
10/26/2023,8620
10/27/2023,6367
10/28/2023,8230
10/29/2023,11888
10/30/2023,6661
10/31/2023,7767
11/1/2023,8393
11/2/2023,11882
11/3/2023,11325
11/4/2023,17857
11/5/2023,4275
11/6/2023,9668
11/7/2023,7921
11/8/2023,7546
11/9/2023,9060
11/10/2023,10849
11/11/2023,12456
11/12/2023,12112
11/13/2023,7921
11/14/2023,6149
11/15/2023,4750
11/16/2023,6565
11/17/2023,6120
11/18/2023,9238
11/19/2023,6387
11/20/2023,10245
11/21/2023,5785
11/22/2023,8249
11/23/2023,13549
11/24/2023,4409
11/25/2023,8326
11/26/2023,13891
11/27/2023,10260
11/28/2023,12214
11/29/2023,8691
11/30/2023,14360
12/1/2023,9650
12/2/2023,8778
12/3/2023,9172
12/4/2023,11939
12/5/2023,9919
12/6/2023,9171
12/7/2023,11054
12/8/2023,9174
12/9/2023,11602
12/10/2023,4867
12/11/2023,8635
12/12/2023,12272
12/13/2023,10155
12/14/2023,14672


